málsnúmer;málsheiti;staða máls;heildartími;nefndir
166;úrskurðarnefndir;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
167;úrskurðarnefndir;Fyrirspurninni var svarað skriflega.;;
168;úrskurðarnefndir;Fyrirspurninni var svarað skriflega.;;
169;hernaður NATO í Líbíu;;;
170;skýrsla Ríkisendurskoðunar um Oracle-kerfið;;;
171;framkvæmdir Landsvirkjunar í Þingeyjarsýslum;;;
172;endurgreiðsla öryrkja til LÍN;;;
173;refsiaðgerðir ESB gegn Íslendingum vegna makríldeilunnar;;;
174;millilandaflug um Hornafjarðarflugvöll;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
175;kjarasamningar opinberra starfsmanna;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
176;hlutafélög og einkahlutafélög;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
177;Maastricht-skilyrði og upptaka evru;Fyrirspurnin var felld niður vegna ráðherraskipta.;;
178;óundirbúinn fyrirspurnatími;;;
179;stjórnarskrármál;;;
180;samskipti ríkisstjórnar og atvinnulífs;;;
181;atkvæðagreiðslur um þjóðréttarlegar skuldbindingar o.fl.;;;
182;endurmat á aðildarumsókn að ESB;;;
183;reglugerð um innheimtukostnað;;;
184;rekstrarhalli Landbúnaðarháskólans;;;
185;kostnaður við ráðherraskipti;Fyrirspurninni var svarað skriflega.;;
186;gjaldtaka fyrir einkanúmer;Fyrirspurninni var svarað skriflega.;;
187;viðurkenning á þjóðarmorði á Armenum;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
188;björgunarpakki til varnar evrunni;Fyrirspurninni var svarað skriflega.;;
189;hvalastofnar við Ísland;Fyrirspurninni var svarað skriflega.;;
190;óundirbúinn fyrirspurnatími;;;
191;hæstaréttardómur um gengislán;;;
192;staða Fjölbrautaskóla Suðurnesja;;;
193;skattur á ferðaþjónustu;;;
194;eignir útlendinga í íslenskum krónum;;;
195;Ábyrgðasjóður launa;Samþykkt sem lög frá Alþingi.;;
196;menningarstefna;Samþykkt sem ályktun Alþingis.;;
197;tekjuskattur;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
198;opinber stuðningur við vísindarannsóknir;Samþykkt sem lög frá Alþingi.;;
199;sviðslistalög;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
200;stimpilgjald;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
201;ráðgjafarstofa fyrirtækja í greiðsluörðugleikum;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
202;þriggja fasa rafmagn;Fyrirspurninni var svarað skriflega.;;
203;heimspeki sem skyldufag í grunn- og framhaldsskóla;Ekki útrætt á 141. þingi. (Var í nefnd eftir fyrri umræðu.);;
204;sveitarstjórnarlög;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
205;sala sjávarafla o.fl.;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
206;stjórn fiskveiða;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
207;stjórnarskráin og Evrópusambandið;Fyrirspurninni var svarað skriflega.;;
208;dóms- og löggjafarvald og ESB;Fyrirspurninni var svarað skriflega.;;
209;kostnaður við málarekstur ríkisins vegna kröfu um ógildingu ákvörðunar Eftirlitsstofnunar EFTA;Fyrirspurninni var svarað skriflega.;;
210;óundirbúinn fyrirspurnatími;;;
211;beitarþol, landgræðsla og lausaganga búfjár;;;
212;mótun stefnu um fæðuöryggi Íslands;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
213;kosningar til Alþingis;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
214;Stjórnarráð Íslands;Samþykkt sem lög frá Alþingi.;;
215;upplýsingalög;Samþykkt sem lög frá Alþingi.;;
216;útgáfa og meðferð rafeyris;Samþykkt sem lög frá Alþingi.;;
217;lagfæring þjóðvegarkafla á Sauðárkróki;Fyrirspurninni var svarað skriflega.;;
218;grunnskólinn á Tálknafirði;;;
219;skipulagsáætlun fyrir strandsvæði;;;
220;skerðing elli- og örorkulífeyris;;;
221;Þingvallavatn og Mývatn;;;
222;svört atvinnustarfsemi;;;
223;stórskipahöfn;Fyrirspurninni var svarað skriflega.;;
224;snjómokstur;Fyrirspurninni var svarað skriflega.;;
225;Fisktækniskólinn;Fyrirspurninni var svarað skriflega.;;
226;greiðsluþátttaka vegna talmeinaþjónustu;Fyrirspurninni var svarað skriflega.;;
227;friðlýst svæði og landvarsla;Fyrirspurninni var svarað skriflega.;;
228;óundirbúinn fyrirspurnatími;;;
229;GSM-samband á Hellisheiði og Suðurstrandarvegi;Fyrirspurninni var svarað munnlega.;;
230;fríverslunarsamningur við Kína;;;
231;hækkun skatta á ferðaþjónustu;;;
232;innflutningur á lifandi dýrum, hráu kjöti og plöntum;;;
233;vegarstæði um Gufudalssveit;;;
234;áfengisauglýsingar á íþróttasvæðum;;;
235;Vestfirðir sem vettvangur þróunar, rannsókna og kennslu á sviði sjávarútvegs;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
236;merking á vörum frá hernumdum svæðum Palestínu;Ekki útrætt á 141. þingi. (Beið síðari umræðu.);;
237;búfjárbeit;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
238;tjón af völdum gróðurelda;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
239;aðskilnaður peningamyndunar og útlánastarfsemi bankakerfisins;Ekki útrætt á 141. þingi. (Beið síðari umræðu.);;
240;flughlað og ný flugstöð á Akureyrarflugvelli;Fyrirspurninni var svarað skriflega.;;
241;framlög ríkisins til listfélaga;Fyrirspurninni var svarað skriflega.;;
242;fjárveitingar til menningarverkefna úti á landi;Fyrirspurninni var svarað munnlega.;;
243;biðlistar eftir hjúkrunarrýmum;Fyrirspurninni var svarað skriflega.;;
244;snjóflóðavarnir;Fyrirspurninni var svarað munnlega.;;
245;þjónustusamningur við Heilbrigðisstofnun Suðausturlands;Fyrirspurninni var svarað munnlega.;;
246;rekstur og stjórnsýsla Vatnajökulsþjóðgarðs;Fyrirspurninni var svarað munnlega.;;
247;afleiðingar óveðursins á Norður- og Norðausturlandi í september;;;
248;Fjarskiptasjóður og forgangsverkefni hans;;;
249;nýsköpunarátak til að stórefla heilsársferðaþjónustu úti á landi;Ekki útrætt á 141. þingi. (Beið síðari umræðu.);;
250;rekstur framhaldsskóla;Fyrirspurninni var svarað munnlega.;;
251;einelti á vinnustöðum;Fyrirspurninni var svarað munnlega.;;
252;einelti í skólum;Fyrirspurninni var svarað munnlega.;;
253;afleiðingar veiðigjaldsins;;;
254;þróun vaxtakostnaðar húsnæðislána;Fyrirspurninni var svarað skriflega.;;
255;Maastricht-skilyrði og upptaka evru;Fyrirspurninni var svarað skriflega.;;
256;úrskurðarnefndir;Fyrirspurninni var svarað skriflega.;;
257;óundirbúinn fyrirspurnatími;;;
258;skýrsla McKinsey ráðgjafarfyrirtækisins um íslenska hagkerfið;;;
259;aðildarumsókn Íslands að ESB;;;
260;gjaldeyrishöft;;;
261;tillögur ungra sjálfstæðimanna um aðgerðir í ríkisfjármálum;;;
262;kjaramál aldraðra;;;
263;launakjör saksóknara;Fyrirspurninni var svarað skriflega.;;
264;niðurgreiðslur húshitunarkostnaðar;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
265;stjórn fiskveiða;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
266;diplómanám á háskólastigi fyrir fólk með þroskahömlun;Fyrirspurninni var svarað munnlega.;;
267;framkvæmdaáætlun í málefnum fatlaðs fólks;Fyrirspurninni var svarað munnlega.;;
268;dvalarrými, hvíldarrými og dagvistun fyrir aldraða;Fyrirspurninni var svarað skriflega.;;
269;óundirbúinn fyrirspurnatími;;;
270;staða þjóðkirkjunnar og safnaða landsins í ljósi niðurskurðar undanfarinna ára;;;
271;gengistryggð lán og verðtryggð lán;;;
272;vextir af lánum frá Norðurlöndum;;;
273;greiðslur til skiptastjórna;;;
274;breytingar á byggingarreglugerð;;;
275;reglur um lausagöngu búfjár;;;
276;fjárveitingar til refa- og minkaveiða;Fyrirspurninni var svarað skriflega.;;
277;skrifstofur alþingismanna;Fyrirspurninni var svarað skriflega.;;
278;ákvörðun EES-nefndarinnar nr. 158/2012 um breytingu á II. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
279;ákvörðun EES-nefndarinnar nr. 167/2012 um breytingu á IX. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
280;ákvörðun EES-nefndarinnar nr. 168/2012 um breytingu á IX. viðauka við EES-samninginn;Samþykkt sem ályktun Alþingis.;;
281;byggðamál;;;
282;búfjárhald;Samþykkt sem lög frá Alþingi.;;
283;velferð dýra;Samþykkt sem lög frá Alþingi.;;
284;Seyðisfjarðargöng;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
285;óundirbúinn fyrirspurnatími;;;
286;skipulögð glæpastarfsemi og staða lögreglunnar;;;
287;afnám gjaldeyrishafta;;;
288;nauðasamningar bankanna;;;
289;stefna ASÍ vegna skattlagningar lífeyrisréttinda;;;
290;framkvæmdir við Vaðlaheiðargöng;;;
291;hagvöxtur og hækkun stýrivaxta;;;
292;meðferð sakamála;Ekki útrætt á 141. þingi. Beið 2. umræðu;;
293;skipun rannsóknarnefndar til að skoða starfshætti ráðuneyta og Seðlabanka Íslands;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
294;óundirbúinn fyrirspurnatími;;;
295;barnalög;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
296;fullgilding viðbótarbókunar við samning á sviði refsiréttar um spillingu;Samþykkt sem ályktun Alþingis.;;
297;hlé á greiðslu lífeyrisiðgjalda við húsnæðiserfiðleika;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
298;þjóðaratkvæðagreiðslur;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
299;vextir og framfærslukostnaður;Fyrirspurninni var svarað skriflega.;;
300;frítökuréttur slökkviliðsmanna á Keflavíkurflugvelli;Fyrirspurninni var svarað skriflega.;;
301;átökin á Gaza;;;
302;aukinn kostnaður vegna nýrrar byggingarreglugerðar;;;
303;slit stjórnmálasambands við Ísrael;;;
304;skýrsla um stöðu lögreglunnar;;;
305;fræðsla í fjármálalæsi;;;
306;frumkvöðla- og nýsköpunarstarf;Fyrirspurninni var svarað skriflega.;;
307;fræða- og rannsóknarstarf á Austurlandi;Fyrirspurninni var svarað skriflega.;;
308;framboð háskólanáms á Austurlandi;Fyrirspurninni var svarað skriflega.;;
309;tilflutningur verkefna frá heilbrigðiseftirliti sveitarfélaga;Fyrirspurninni var svarað skriflega.;;
310;stjórnsýsla hreindýraveiða;Fyrirspurninni var svarað skriflega.;;
311;ástandið fyrir botni Miðjarðarhafs;;;
312;fullgilding Íslands á samningi Evrópuráðsins um forvarnir og baráttu gegn ofbeldi;Fyrirspurninni var svarað skriflega.;;
313;Húsavíkurflugvöllur;Fyrirspurninni var svarað munnlega.;;
314;hjúkrunarrými;Fyrirspurninni var svarað skriflega.;;
315;heilsársvegur um Kjöl;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
316;íslensk tunga á tölvuöld;;;
317;rannsókn og saksókn kynferðisbrota;Fyrirspurninni var svarað skriflega.;;
318;framkvæmdir á Vestfjarðavegi;Fyrirspurninni var svarað skriflega.;;
319;staða þjóðarbúsins;;;
320;áfengisauglýsingar;Fyrirspurninni var svarað munnlega.;;
321;dómstólar;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
322;innflutningur dýra;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
323;barnalög;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
324;40 stunda vinnuvika;Ekki útrætt á 141. þingi. (Var í nefnd eftir 1. umræðu.);;
325;almenn hegningarlög;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
326;stóriðjusamningar og loftslagsmál;;;
327;réttur verkafólks til uppsagnarfrests frá störfum og til launa vegna sjúkdóms og slysaforfalla;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
328;heilsutengd þjónusta;;;
329;opinber innkaup;;;
330;Drómi fjármálafyrirtæki;;;
331;húsaleigubætur til námsmanna;;;
332;ný Vestmannaeyjaferja;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
333;hafnir;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
334;greiðsluþátttaka ríkissjóðs vegna uppbyggingar Helguvíkurhafnar;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
335;tekjuskattur;Ekki útrætt á 141. þingi. (Beið 1. umræðu.);;
336;óundirbúinn fyrirspurnatími;;;
337;óundirbúinn fyrirspurnatími;;;
338;ríkisábyrgð á Íbúðalánasjóði;;;
339;siglingar Baldurs til Vestmannaeyja;;;
340;tollvernd landbúnaðarafurða í ESB-samningnum;;;
341;aðild SVÞ að starfshópi um ESB-mál;;;
342;neytendavernd á fjármálamarkaði;;;
343;ljóðakennsla og skólasöngur;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
344;Skipasafn Íslands í Reykjanesbæ;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
345;stofnun íslenskrar handverksdeildar í Listaháskóla Íslands;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
346;fuglaskoðunarstöð í Garði;Ekki útrætt á 141. þingi. (Beið fyrri umræðu.);;
