þingmaður, já, nei, sat hjá, boðaði fjarvist, fjarverandi
Þórunn Egilsdóttir,743,68,0,0,55
Svandís Svavarsdóttir,445,63,77,0,281
Páll Jóhann Pálsson,667,66,0,3,124
Elín Hirst,540,30,12,210,74
Brynhildur Pétursdóttir,575,41,212,0,38
Sigmundur Davíð Gunnlaugsson,638,62,0,28,138
Guðlaugur Þór Þórðarson,670,63,5,16,107
Helgi Hrafn Gunnarsson,438,55,323,4,46
Björk Vilhelmsdóttir,1,0,0,0,0
Ásmundur Einar Daðason,386,14,1,11,72
Sigurður Ingi Jóhannsson,652,62,0,18,130
Silja Dögg Gunnarsdóttir,705,68,2,11,80
Geir Jón Þórisson,6,1,0,0,0
Einar K. Guðfinnsson,757,68,0,0,29
Fjóla Hrund Björnsdóttir,9,0,0,0,1
Heiða Kristín Helgadóttir,0,0,0,0,1
Ásmundur Friðriksson,727,64,2,0,66
Katrín Jakobsdóttir,538,74,158,12,84
Birgitta Jónsdóttir,290,46,311,89,130
Óttarr Proppé,543,45,204,25,49
Árni Páll Árnason,468,38,202,0,142
Steinunn Þóra Árnadóttir,56,3,5,0,0
Sigríður Á. Andersen,5,0,0,0,0
Bjarni Benediktsson,628,65,0,28,145
Hjálmar Bogi Hafliðason,7,0,0,0,0
Guðmundur Steingrímsson,546,45,212,2,51
Róbert Marshall,265,30,150,3,28
Sigrún Magnúsdóttir,775,68,0,7,15
Þorsteinn Magnússon,5,0,0,0,0
