Elsa Lára Arnardóttir;stytting biðlista á kvennadeildum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=115;a
Björn Leví Gunnarsson;fyrirtækjaskrá;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=116;l
Silja Dögg Gunnarsdóttir;þjóðfáni Íslendinga og ríkisskjaldarmerkið;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=117;l
Logi Einarsson;fordæming aðgerða Bandaríkjaforseta gegn múslimum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=118;a
Vilhjálmur Árnason;orlof húsmæðra;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=119;l
Vilhjálmur Árnason;tekjustofnar sveitarfélaga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=120;l
Silja Dögg Gunnarsdóttir;atvinnuleysistryggingar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=121;l
Bjarkey Olsen Gunnarsdóttir;fjárveitingar til sóknaráætlana landshluta og hlutverk þeirra;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=122;m
Nichole Leigh Mosty;fjöldi vínveitingaleyfa;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=123;q
Þórhildur Sunna Ævarsdóttir;rannsókn á fangaflugi bandarískra yfirvalda um Ísland;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=124;m
Svandís Svavarsdóttir;kjör og staða myndlistarmanna;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=125;m
Benedikt Jóhannesson;fjármálafyrirtæki og opinbert eftirlit með fjármálastarfsemi;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=126;l
Ari Trausti Guðmundsson;málefni Háskóla Íslands;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=127;m
Jón Gunnarsson;farþegaflutningar og farmflutningar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=128;l
Steinunn Þóra Árnadóttir;hjónavígslur og nafngiftir;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=129;a
Guðlaugur Þór Þórðarson;ákvörðun EES-nefndarinnar nr. 39/2016 um breytingu á XXII. viðauka við EES-samninginn;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=130;a
Þórunn Egilsdóttir;byggðaáætlun;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=131;m
Björn Leví Gunnarsson;lífeyrisgreiðslur almannatrygginga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=132;q
Eygló Harðardóttir;spár um íbúðafjárfestingu;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=133;q
Eygló Harðardóttir;spár um íbúðafjárfestingu;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=134;q
Silja Dögg Gunnarsdóttir;flutningur Landhelgisgæslunnar til Reykjanesbæjar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=135;a
Guðjón S. Brjánsson;stytting biðlista;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=136;q
Svandís Svavarsdóttir;radíókerfi og fjarskiptakerfi;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=137;m
Andrés Ingi Jónsson;fjármagnstekjur einstaklinga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=138;q
Katrín Jakobsdóttir;starfsumhverfi bókaútgáfu;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=139;m
Björn Leví Gunnarsson;yfirferð kosningalaga;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=140;m
Gunnar Ingiberg Guðmundsson;úthaldsdagar Landhelgisgæslunnar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=141;q
Silja Dögg Gunnarsdóttir;almenningssamgöngur;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=142;m
Einar Brynjólfsson;húsnæði Listaháskóla Íslands;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=143;a
Svandís Svavarsdóttir;fjölmiðlar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=144;l
Svandís Svavarsdóttir;könnun á gæðum skólamáltíða í leik- og grunnskólum;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=145;a
Þórdís Kolbrún R. Gylfadóttir;orkuskipti;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=146;a
Svandís Svavarsdóttir;skipun nefndar er geri tillögur um atvinnulýðræði;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=147;a
Benedikt Jóhannesson;meginþættir í störfum fjármálastöðugleikaráðs 2016;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=148;s
Katrín Jakobsdóttir;ívilnanir til nýfjárfestinga á Íslandi;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=149;l
Nichole Leigh Mosty;almannatryggingar;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=150;l
Björn Leví Gunnarsson;húsnæði ríkisstofnana;http://www.althingi.is/altext/xml/thingmalalisti/thingmal/?lthing=146&malnr=151;q
